Date,Total_News_Count,Total_Sentiment_Mean,Sent_경제,Sent_사회,Sent_지역,Sent_정치
2015-01,74,-0.02702702702702703,-0.06666666666666667,-0.05555555555555555,0.1111111111111111,-0.4
2015-02,118,-0.06779661016949153,-0.11764705882352941,-0.046875,0.5,-0.1111111111111111
2015-03,76,0.0,-0.21428571428571427,-0.16,0.3333333333333333,0.25
2015-04,80,-0.1125,0.0,-0.09523809523809523,-0.18181818181818182,0.0
2015-05,73,-0.0684931506849315,0.0,-0.2,-0.5714285714285714,0.25
2015-06,60,-0.2,-0.38461538461538464,-0.15384615384615385,-0.25,1.0
2015-07,61,-0.04918032786885246,-0.18181818181818182,0.1111111111111111,-0.17647058823529413,-0.5
2015-08,59,0.1016949152542373,0.08333333333333333,0.2857142857142857,0.1,0.0
2015-09,98,0.061224489795918366,0.022727272727272728,0.2,-0.14285714285714285,0.09090909090909091
2015-10,34,-0.058823529411764705,0.0,-0.25,0.3333333333333333,-1.0
2015-11,128,0.0546875,-0.35,0.09433962264150944,0.25,0.6666666666666666
2015-12,30,0.0,0.0,0.0,0.0,0.0
2016-01,94,-0.031914893617021274,0.02631578947368421,0.2857142857142857,0.0,0.3333333333333333
2016-02,50,-0.08,-0.1875,0.07142857142857142,1.0,1.0
2016-03,51,-0.0392156862745098,-0.21428571428571427,0.23076923076923078,-0.16666666666666666,0.0
2016-04,42,0.047619047619047616,0.14285714285714285,0.4444444444444444,0.1,0.0
2016-05,52,-0.15384615384615385,0.0,0.0,0.0,0.0
2016-06,29,0.10344827586206896,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0
2016-07,58,0.06896551724137931,-0.06666666666666667,0.8333333333333334,-1.0,-0.3333333333333333
2016-08,40,0.025,0.0,-0.14285714285714285,0.0,0.25
2016-09,317,-0.05993690851735016,0.08333333333333333,-0.04568527918781726,-0.15,-0.6428571428571429
2016-10,362,-0.09944751381215469,-0.07317073170731707,-0.07916666666666666,-0.41379310344827586,0.3333333333333333
2016-11,136,0.007352941176470588,0.0,-0.0641025641025641,0.3,0.8
2016-12,142,-0.007042253521126761,0.016129032258064516,0.03636363636363636,-0.2857142857142857,0.3333333333333333
2017-01,107,0.056074766355140186,0.061224489795918366,-0.15789473684210525,0.16666666666666666,1.0
2017-02,49,0.16326530612244897,0.2413793103448276,-0.375,0.0,0.0
2017-03,72,0.0,-0.038461538461538464,0.13636363636363635,0.0,0.0
2017-04,63,0.1111111111111111,0.0,0.5,0.2727272727272727,0.0
2017-05,77,-0.06493506493506493,-0.10714285714285714,0.058823529411764705,-0.14285714285714285,0.0
2017-06,52,-0.1346153846153846,-0.4,0.3333333333333333,0.18181818181818182,-0.5
2017-07,61,0.2459016393442623,0.3125,0.2777777777777778,-0.2,0.5
2017-08,62,0.0,0.3181818181818182,-0.09523809523809523,0.5,0.0
2017-09,113,0.017699115044247787,-0.0625,-0.022222222222222223,0.3333333333333333,0.3333333333333333
2017-10,41,-0.07317073170731707,0.16666666666666666,-0.3333333333333333,0.5,-0.375
2017-11,72,0.041666666666666664,-0.10526315789473684,-0.11764705882352941,-0.13333333333333333,0.0
2017-12,81,0.04938271604938271,0.07692307692307693,-0.1,0.6666666666666666,0.14285714285714285
2018-01,77,-0.05194805194805195,-0.09375,0.25,0.2,-0.6666666666666666
2018-02,59,0.01694915254237288,-0.05263157894736842,-0.058823529411764705,0.0,0.0
2018-03,42,-0.07142857142857142,-0.375,0.0,0.2,0.14285714285714285
2018-04,46,0.2826086956521739,0.15789473684210525,-0.2857142857142857,0.6,0.8
2018-05,79,0.0379746835443038,0.0,0.10416666666666667,-0.16666666666666666,0.5
2018-06,93,0.03225806451612903,-0.10526315789473684,0.017857142857142856,0.5,0.2
2018-07,180,0.022222222222222223,0.25925925925925924,-0.02631578947368421,-0.09090909090909091,0.42857142857142855
2018-08,79,0.012658227848101266,0.0,0.0,0.0,0.0
2018-09,73,0.1232876712328767,0.3,0.16666666666666666,-0.1111111111111111,0.3333333333333333
2018-10,60,0.16666666666666666,0.0,0.23076923076923078,0.0,0.1875
2018-11,132,-0.09090909090909091,0.0,-0.1956521739130435,-0.19047619047619047,-0.0625
2018-12,659,0.04552352048558422,0.0,0.08503401360544217,0.03508771929824561,0.012711864406779662
2019-01,75,0.05333333333333334,0.025,0.46153846153846156,0.0,-0.4
2019-02,20,0.25,0.0,0.75,0.0,0.6666666666666666
2019-03,72,-0.05555555555555555,-0.2222222222222222,0.0,-0.2,0.0
2019-04,56,-0.10714285714285714,0.15789473684210525,-0.2857142857142857,-0.5384615384615384,0.25
2019-05,54,-0.16666666666666666,-0.2222222222222222,-0.10714285714285714,-0.375,0.25
2019-06,65,0.03076923076923077,0.07692307692307693,0.0,-0.3333333333333333,0.0
2019-07,73,0.0410958904109589,0.14285714285714285,-0.13043478260869565,0.2,0.5
2019-08,85,-0.15294117647058825,-0.1951219512195122,-0.2,0.5,0.0
2019-09,102,0.30392156862745096,0.6666666666666666,0.23076923076923078,0.42857142857142855,0.0
2019-10,297,-0.10437710437710437,-0.2631578947368421,-0.09174311926605505,-0.1,0.08333333333333333
2019-11,612,0.006535947712418301,-0.20588235294117646,0.03762376237623762,-0.06349206349206349,-0.5
2019-12,61,-0.06557377049180328,-0.15789473684210525,-0.35294117647058826,-0.3333333333333333,0.0
2020-01,44,-0.22727272727272727,-0.5,-0.4444444444444444,0.0,0.0
2020-02,59,0.01694915254237288,0.14285714285714285,-0.030303030303030304,-0.2,0.0
2020-03,68,-0.19117647058823528,-0.07407407407407407,-0.4166666666666667,-0.4,0.0
2020-04,35,-0.11428571428571428,0.14285714285714285,-0.21052631578947367,-0.6666666666666666,0.0
2020-05,34,0.0,0.11764705882352941,0.0,-0.2,0.0
2020-06,45,-0.13333333333333333,-0.2,-0.5,0.0,0.0
2020-07,46,-0.08695652173913043,0.058823529411764705,-0.6666666666666666,-0.5,1.0
2020-08,47,-0.1276595744680851,-0.25,-0.10344827586206896,-0.2222222222222222,0.0
2020-09,71,0.07042253521126761,0.0,0.0,0.1,1.0
2020-10,44,-0.022727272727272728,-0.2777777777777778,0.16666666666666666,0.2857142857142857,-0.2
2020-11,27,0.037037037037037035,0.4,-0.11764705882352941,0.0,0.0
2020-12,83,-0.10843373493975904,-0.25,-0.2,0.0,0.0
2021-01,46,-0.043478260869565216,0.2,-0.25,-0.15384615384615385,-1.0
2021-02,41,-0.14634146341463414,-0.125,-0.05555555555555555,-0.25,0.0
2021-03,74,0.0,-1.0,-0.09803921568627451,0.2857142857142857,0.0
2021-04,15,-0.06666666666666667,0.5,-1.0,1.0,0.0
2021-05,16,0.125,0.0,0.0,1.0,0.0
2021-06,41,-0.024390243902439025,-0.2,-0.2857142857142857,0.06666666666666667,0.5
2021-07,53,-0.09433962264150944,-0.047619047619047616,0.0,-0.375,0.0
2021-08,66,-0.09090909090909091,0.1,-0.06896551724137931,0.0,-0.5
2021-09,30,-0.1,0.125,0.25,-0.3333333333333333,-1.0
2021-10,32,0.0,0.16666666666666666,-0.6666666666666666,0.0,0.16666666666666666
2021-11,48,0.020833333333333332,-0.26666666666666666,0.3333333333333333,0.1111111111111111,0.0
2021-12,29,-0.13793103448275862,0.2,-0.25,0.125,0.0
2022-01,85,0.09411764705882353,0.14285714285714285,0.19047619047619047,0.029411764705882353,0.2222222222222222
2022-02,15,0.13333333333333333,1.0,0.25,0.0,0.0
2022-03,39,-0.1794871794871795,0.0,-0.6,-0.5555555555555556,0.0
2022-04,15,-0.4666666666666667,-0.3333333333333333,-0.5,-0.6666666666666666,0.5
2022-05,41,-0.07317073170731707,-0.375,-0.25,0.1,-0.75
2022-06,37,0.21621621621621623,-0.3333333333333333,0.36363636363636365,0.42857142857142855,1.0
2022-07,89,-0.1348314606741573,-0.24,-0.18181818181818182,0.0,0.0
2022-08,75,0.08,-0.17647058823529413,0.21428571428571427,-0.09090909090909091,0.0
2022-09,74,0.02702702702702703,0.0,-0.125,0.0,0.8333333333333334
2022-10,108,-0.21296296296296297,-0.17307692307692307,-0.7142857142857143,-0.21052631578947367,-0.19230769230769232
2022-11,186,-0.053763440860215055,0.05263157894736842,-0.015748031496062992,-0.4444444444444444,-0.15384615384615385
2022-12,198,-0.020202020202020204,0.12,-0.02608695652173913,0.13333333333333333,0.0
2023-01,69,0.08695652173913043,0.06896551724137931,-0.38461538461538464,0.4375,0.25
2023-02,44,0.045454545454545456,0.25,-0.043478260869565216,-0.3333333333333333,1.0
2023-03,76,-0.21052631578947367,-0.13513513513513514,0.0,-0.34782608695652173,-1.0
2023-04,52,0.0,0.14285714285714285,0.0,0.0,0.0
2023-05,38,0.0,-0.08333333333333333,0.0,0.0,0.0
2023-06,130,0.038461538461538464,0.2857142857142857,0.1,-0.42105263157894735,0.0
2023-07,132,-0.045454545454545456,-0.17391304347826086,-0.060240963855421686,0.23529411764705882,0.0
2023-08,117,-0.017094017094017096,0.07692307692307693,-0.047619047619047616,-0.06060606060606061,0.0
2023-09,503,0.009940357852882704,0.05263157894736842,0.03380281690140845,-0.0625,0.05555555555555555
2023-10,81,0.04938271604938271,0.1,0.041666666666666664,0.2,0.09090909090909091
2023-11,59,0.01694915254237288,-0.034482758620689655,-0.07692307692307693,-0.08333333333333333,0.6666666666666666
2023-12,84,-0.023809523809523808,0.0,-0.2857142857142857,0.0,-0.0625
2024-01,40,0.2,0.09090909090909091,0.4444444444444444,0.2857142857142857,0.0
2024-02,90,-0.2111111111111111,-0.1111111111111111,-0.1111111111111111,0.0,-0.21739130434782608
2024-03,61,-0.13114754098360656,-0.05555555555555555,0.0,-0.07692307692307693,1.0
2024-04,91,-0.04395604395604396,0.038461538461538464,-0.23076923076923078,-0.1111111111111111,-0.3333333333333333
2024-05,45,-0.06666666666666667,0.25,0.14285714285714285,-0.1111111111111111,0.0
2024-06,91,0.04395604395604396,-0.02127659574468085,0.3333333333333333,0.18181818181818182,0.25
2024-07,56,0.08928571428571429,0.06666666666666667,0.4666666666666667,-0.09090909090909091,0.0
2024-08,88,-0.10227272727272728,0.05,0.043478260869565216,-0.045454545454545456,-0.8333333333333334
2024-09,88,-0.19318181818181818,-0.18181818181818182,-0.5,-0.2,-0.125
2024-10,57,-0.24561403508771928,-0.5454545454545454,-0.17391304347826086,-0.25,0.16666666666666666
2024-11,102,-0.13725490196078433,-0.375,-0.10256410256410256,-0.5555555555555556,1.0
2024-12,315,0.05714285714285714,0.12903225806451613,0.04838709677419355,0.14285714285714285,0.0
2025-01,87,-0.13793103448275862,0.14285714285714285,-0.16,-0.1,-0.4444444444444444
2025-02,72,0.0,0.17142857142857143,-0.3333333333333333,0.0,-0.3333333333333333
2025-03,84,-0.011904761904761904,0.09375,-0.1,-0.19047619047619047,-1.0
